MAIN_ID,RA,DEC,F606W,F814W,F336W,MAG_USE,[8.6],Jmag,Kmag,Flux,LPV,u_LPV,PMRA,PMDEC

  1,006.03575417,-72.06523056,10.950, 9.037,      ,13.779, 5.595,      ,      , 0.286,V8  , ,0,0
  2,006.03217083,-72.07544167,11.658, 9.401,      ,14.338, 6.333,      ,      , 0.145,LW13,?,0,0
  3,006.01042083,-72.08541111,11.486, 9.347,16.259,14.196, 6.372,      ,      , 0.140,LW10, ,0,0
  4,006.06311667,-72.07680278,11.178, 8.671,      ,13.898, 6.388,      ,      , 0.138,V27 , ,0,0
  5,006.01663333,-72.08614167,11.498, 9.595,16.444,13.688, 6.813,      ,      , 0.093,LW12, ,0,0
  6,006.06023750,-72.08592778,12.193, 9.920,16.314,14.159, 6.844,      ,      , 0.090,V20 , ,0,0
  7,006.03921250,-72.08029167,11.094, 9.625,16.101,13.259, 6.926,      ,      , 0.084,LW14, ,0,0
  8,006.06149167,-72.07903611,11.120, 9.765,14.757,13.475, 7.052,10.953, 9.680, 0.075,V19 , ,0,0
  9,006.04650417,-72.08596389,11.213, 9.663,16.147,13.555, 7.103,      ,      , 0.071,LW15, ,0,0
 10,006.03425417,-72.07556667,11.478, 9.853,16.127,13.501, 7.233,      ,      , 0.063,LW13,?,0,0
 11,005.98718750,-72.09240278,11.253, 9.800,15.808,13.470, 7.320,      ,      , 0.058,LW7 , ,0,0
 12,005.98984583,-72.09153333,11.368, 9.916,16.570,      , 7.437,      ,      , 0.052,LW8 , ,0,0
 13,006.05426667,-72.08134722,11.358, 9.917,15.919,13.418, 7.501,      ,      , 0.049,LW16,?,0,0
 14,006.03235833,-72.08616944,11.320, 9.964,      ,13.305, 7.579,      ,      , 0.046,    , ,0,0
 15,006.02616250,-72.07928333,10.622, 9.316,      ,13.429, 7.677,      ,      , 0.042,    , ,0,0
 16,006.01315417,-72.08076389,11.465,10.086,      ,13.475, 7.790,      ,      , 0.038,LW11, ,0,0
 17,006.03469167,-72.08076667,11.503,10.163,15.911,13.493, 7.898,      ,      , 0.034,    , ,0,0
 18,006.00691250,-72.08238889,11.461,10.179,      ,13.474, 7.965,      ,      , 0.032,    , ,0,0
 19,006.00600000,-72.08996944,11.518,10.299,15.766,13.548, 8.067,      ,      , 0.029,    , ,0,0
 20,006.04209167,-72.08168611,11.348,10.228,      ,13.460, 8.089,      ,      , 0.029,    , ,0,0
 21,005.99916667,-72.09126944,11.511,10.277,15.845,      , 8.140,      ,      , 0.027,    , ,0,0
 22,006.05709167,-72.08125278,11.621,10.497,15.760,13.552, 8.224,      ,      , 0.025,LW16,?,0,0
 23,006.01279167,-72.08196667,11.511,10.337,15.621,13.479, 8.243,      ,      , 0.025,    , ,0,0
 24,006.00649167,-72.07952222,11.483,10.348,      ,13.493, 8.274, 9.358, 8.395, 0.024,    , ,0,0
 25,006.02124167,-72.08179167,11.540,10.419,15.643,13.431, 8.359, 9.342, 8.418, 0.022,    , ,0,0
 26,006.07743750,-72.07876667,11.655,10.435,15.795,13.645, 8.367,      ,      , 0.022,    , ,0,0
 27,006.01575417,-72.07908333,11.740,10.608,      ,13.627, 8.446, 9.441, 8.510, 0.021,    , ,0,0
 28,006.03135000,-72.09172500,11.844,10.740,15.598,13.700, 8.522,      ,      , 0.019,    , ,0,0
 29,006.03265833,-72.08903611,11.834,10.712,15.777,13.756, 8.549,      ,      , 0.019,    , ,0,0
 30,006.01141250,-72.08412778,11.774,10.664,      ,13.648, 8.549,      ,      , 0.019,    , ,0,0
 31,006.02700000,-72.09286111,11.782,10.660,15.586,13.637, 8.556,      ,      , 0.019,    , ,0,0
 32,006.04496667,-72.08403889,11.881,10.740,15.920,13.806, 8.563, 9.676, 8.661, 0.019,    , ,0,0
 33,006.03616250,-72.08653889,11.851,10.745,15.602,13.690, 8.610,      ,      , 0.018,    , ,0,0
 34,006.03457917,-72.07068611,11.722,10.640,      ,13.514, 8.628, 9.562, 8.649, 0.017,    , ,0,0
 35,006.04270417,-72.09281667,11.869,10.840,15.409,      , 8.656,      ,      , 0.017,    , ,0,0
 36,005.99227083,-72.09194722,11.810,10.705,15.721,13.593, 8.677,      ,      , 0.017,    , ,0,0
 37,006.01921250,-72.07953889,10.914,10.067,      ,13.622, 8.742, 9.764, 8.850, 0.016,    , ,0,0
 38,006.08285833,-72.08009444,11.825,10.664,      ,      , 8.750,      ,      , 0.016,LW18,?,0,0
 39,006.00770833,-72.06926111,11.590,10.406,      ,13.547, 8.789,      ,      , 0.015,    , ,0,0
 40,006.03491250,-72.07908333,11.127,10.136,      ,13.719, 8.803, 9.702, 8.753, 0.015,    , ,0,0
 41,006.03509167,-72.07666111,11.962,10.896,15.637,13.769, 8.805,      ,      , 0.015,    , ,0,0
 42,005.99954167,-72.08896667,11.860,10.736,15.738,13.714, 8.807,      ,      , 0.015,    , ,0,0
 43,006.07183750,-72.07508333,11.874,10.800,15.581,13.693, 8.823, 9.767, 8.838, 0.015,    , ,0,0
 44,005.98394167,-72.07970000,11.993,10.938,      ,13.753, 8.825,      ,      , 0.015,    , ,0,0
 45,006.01211667,-72.07690000,11.859,10.836,      ,13.617, 8.963, 9.826, 8.952, 0.013,    , ,0,0
 46,006.01251250,-72.08536389,11.666,10.700,      ,13.257, 9.002,      ,      , 0.012,    , ,0,0
 47,006.03417500,-72.07883056,11.297,10.251,      ,13.877, 9.005,10.036, 9.071, 0.012,    , ,0,0
 48,006.02413333,-72.08595556,11.977,10.908,15.579,13.767, 9.008,      ,      , 0.012,    , ,0,0
 49,006.02750417,-72.07719722,12.068,11.050,      ,13.820, 9.010,      ,      , 0.012,    , ,0,0
 50,006.06523333,-72.07621389,12.083,11.036,15.654,13.864, 9.066,10.021, 9.092, 0.012,    , ,0,0
 51,006.00500833,-72.08565000,12.182,11.179,15.544,13.890, 9.147,10.213, 9.298, 0.011,    , ,0,0
 52,006.02227083,-72.07823889,12.108,11.088,15.595,13.829, 9.163,      ,      , 0.011,    , ,0,0
 53,006.04552500,-72.08190833,12.206,11.205,15.640,13.953, 9.165,10.218, 9.320, 0.011,    , ,0,0
 54,006.03258333,-72.08553056,11.983,10.994,15.285,13.949, 9.168, 9.930, 9.040, 0.011,    , ,0,0
 55,005.98827500,-72.08909444,12.177,11.239,15.367,13.776, 9.230,      ,      , 0.010,    , ,0,0
 56,006.06100417,-72.07429444,12.025,11.040,15.272,13.706, 9.234,10.096, 9.217, 0.010,    , ,0,0
 57,005.99231667,-72.07389444,12.081,11.080,      ,13.832, 9.267,10.066, 9.166, 0.010,    , ,0,0
 58,005.99650417,-72.08514722,12.060,11.091,      ,13.722, 9.285,      ,      , 0.010,    , ,0,0
 59,006.04674167,-72.08108333,12.210,11.225,15.558,13.898, 9.316,10.225, 9.352, 0.009,    , ,0,0
 60,005.99253750,-72.07809444,12.266,11.349,      ,13.785, 9.417,10.379, 9.550, 0.008,    , ,0,0
 61,006.02422500,-72.07881667,12.435,11.449,15.632,14.071, 9.436,10.488, 9.612, 0.008,    , ,0,0
 62,005.98800000,-72.07528611,12.433,11.462,      ,14.070, 9.457,10.459, 9.597, 0.008,    , ,0,0
 63,005.97227500,-72.07725278,12.427,11.463,      ,14.085, 9.489,10.465, 9.620, 0.008,    , ,0,0
 64,006.01190000,-72.08556944,12.460,11.487,15.622,14.091, 9.505,      ,      , 0.008,    , ,0,0
 65,005.97001250,-72.07591944,12.391,11.408,      ,14.038, 9.553,10.423, 9.548, 0.007,    , ,0,0
 66,006.04413750,-72.07805278,11.583,10.640,      ,13.863, 9.604,10.394, 9.552, 0.007,    , ,0,0
 67,006.02763333,-72.06923056,12.262,11.256,      ,13.955, 9.611,10.130, 9.236, 0.007,    , ,0,0
 68,005.98771667,-72.07378611,12.492,11.489,      ,14.125, 9.616,10.539, 9.687, 0.007,    , ,0,0
 69,006.02910833,-72.09338611,12.465,11.493,15.627,14.101, 9.642,      ,      , 0.007,    , ,0,0
 70,006.04260833,-72.07754444,12.494,11.528,15.682,14.142, 9.662,      ,      , 0.007,    , ,0,0
 71,006.04708333,-72.09325556,12.599,11.664,15.656,14.199, 9.674,      ,      , 0.007,    , ,0,0
 72,006.01968333,-72.08701667,12.375,11.405,15.560,13.995, 9.679,      ,      , 0.007,    , ,0,0
 73,006.05734583,-72.07459722,12.461,11.513,15.578,14.054, 9.702,10.562, 9.681, 0.006,    , ,0,0
 74,005.97875417,-72.07548611,12.513,11.569,      ,14.119, 9.705,10.564, 9.728, 0.006,    , ,0,0
 75,006.01417083,-72.07967500,12.691,11.712,      ,14.175, 9.774,10.692, 9.861, 0.006,    , ,0,0
 76,006.01170417,-72.08277500,12.445,11.462,15.622,14.108, 9.793,10.349, 9.481, 0.006,    , ,0,0
 77,006.02921250,-72.08914722,12.664,11.727,15.573,14.239, 9.795,      ,      , 0.006,    , ,0,0
 78,006.00641250,-72.08320556,12.504,11.536,15.613,14.109, 9.813,10.565, 9.716, 0.006,    , ,0,0
 79,006.02797500,-72.08624722,12.577,11.623,15.631,14.169, 9.841,10.686, 9.846, 0.006,    , ,0,0
 80,006.02368750,-72.07871389,12.919,11.976,15.697,14.462, 9.880,11.059,10.239, 0.006,    , ,0,0
 81,005.99536667,-72.07863611,12.571,11.605,      ,14.178, 9.885,10.624, 9.803, 0.005,    , ,0,0
 82,006.01773750,-72.07815278,12.676,11.761,      ,14.206, 9.892,      ,      , 0.005,    , ,0,0
 83,006.02350000,-72.08798056,12.871,11.972,15.569,14.374, 9.907,      ,      , 0.005,    , ,0,0
 84,006.04767083,-72.09880833,12.563,11.611,15.719,14.178, 9.909,      ,      , 0.005,    , ,0,0
 85,006.02364583,-72.07712778,12.753,11.837,      ,14.290, 9.911,10.841,10.002, 0.005,    , ,0,0
 86,006.00230833,-72.07988889,12.719,11.864,      ,14.120, 9.917,11.009,10.270, 0.005,    , ,0,0
 87,005.98961667,-72.08073611,12.733,11.814,      ,14.235, 9.929,10.856,10.046, 0.005,    , ,0,0
 88,006.01660000,-72.08079444,12.613,11.787,      ,14.170, 9.964,10.870,10.160, 0.005,    , ,0,0
 89,006.01545000,-72.07172222,11.978,10.938,      ,13.705, 9.995, 9.959, 9.061, 0.005,    , ,0,0
 90,006.02557500,-72.07643611,12.694,11.846,      ,14.072, 9.997,10.992,10.303, 0.005,    , ,0,0
 91,006.03665000,-72.09245556,12.821,11.912,15.659,      ,10.002,      ,      , 0.005,    , ,0,0
 92,006.02671667,-72.08566667,12.797,11.876,15.407,14.293,10.030,10.971,10.200, 0.005,    , ,0,0
 93,006.02381667,-72.08040000,12.777,11.930,15.264,14.253,10.031,11.113,10.368, 0.005,    , ,0,0
 94,006.03000833,-72.08183889,12.590,11.659,      ,14.146,10.077,10.723, 9.883, 0.005,    , ,0,0
 95,006.02480833,-72.07857500,12.801,11.879,15.686,14.345,10.081,10.929,10.121, 0.005,    , ,0,0
 96,005.98465417,-72.08013889,12.766,11.853,      ,14.289,10.088,10.887,10.087, 0.005,    , ,0,0
 97,006.00821667,-72.07455833,12.310,11.391,      ,13.786,10.143,10.483, 9.669, 0.004,    , ,0,0
 98,005.98453750,-72.07821667,12.824,11.916,      ,14.331,10.166,10.976,10.182, 0.004,    , ,0,0
 99,006.04803750,-72.07295833,13.181,12.303,15.749,14.635,10.184,11.415,10.646, 0.004,    , ,0,0
100,006.02972083,-72.09260000,13.006,12.119,15.715,      ,10.221,      ,      , 0.004,    , ,0,0
101,006.02974167,-72.07715278,12.814,11.872,15.621,14.370,10.242,10.957,10.154, 0.004,    , ,0,0
102,006.07309583,-72.07739167,12.971,12.075,15.466,14.436,10.295,11.181,10.380, 0.004,    , ,0,0
